xSrcPort,xDstPort,xPkt,xMin_Pbyte0,xMin_Pbyte1,xMax_Pbyte0,xMax_Pbyte1,xIni_Pbyte0,xMax_ConsPkt0,Class
7000,8000,1,92,0,92,92,0,1,
4028,8000,2,47,103,47,47,103,1,
59152,9617,1,117,0,117,117,0,1,
7273,7273,1,66,0,66,66,0,1,
7273,58982,1,66,0,66,66,0,1,
7273,19601,1,66,0,66,66,0,1,
53597,3544,2,69,117,69,69,117,1,
5000,8000,1,91,0,91,91,0,1,
1863,8000,2,77,46,77,77,46,1,
52874,9617,6,117,43,117,217,162,3,
5000,8000,1,91,0,91,91,0,1,
7000,23201,1,95,0,95,95,0,1,
5000,8000,1,91,0,91,91,0,1,
4019,8000,2,87,55,87,87,55,1,
6881,8405,1,119,0,119,119,0,1,
51142,8000,1,52,0,52,52,0,1,
4028,8000,2,159,247,159,159,247,1,
60136,8000,2,87,55,87,87,55,1,
7000,8706,4,77,38,77,77,38,2,
7000,28056,4,28,28,28,66,76,2,
7000,7249,1,92,0,92,92,0,1,
55775,9617,1,117,0,117,117,0,1,
60136,8000,2,207,63,207,207,63,1,
49621,53,8,44,98,44,45,229,4,
7000,9805,1,61,0,61,61,0,1,
4005,8000,2,47,55,47,47,55,1,
4019,8000,2,47,55,47,47,55,1,
12345,8000,4,75,37,78,78,37,2,
60136,8000,2,47,55,47,47,55,1,
60136,8000,2,119,0,119,119,0,2,
7273,8829,2,258,260,258,258,260,1,
60136,8000,5,55,39,127,127,71,3,
7000,24345,1,95,0,95,95,0,1,
7000,7700,1,95,0,95,95,0,1,
4000,8000,2,47,103,47,47,103,1,
7000,28056,2,28,28,28,28,28,1,
60136,8000,2,119,87,119,119,87,1,
12345,8000,2,149,27,149,149,27,1,
7000,24345,1,95,0,95,95,0,1,
7000,44023,1,95,0,95,95,0,1,
60136,8000,3,119,87,119,119,87,2,
4024,8000,2,47,55,47,47,55,1,
56321,9022,2,52,52,52,52,52,1,
56321,9025,2,52,52,52,52,52,1,
4028,8000,2,87,55,87,87,55,1,
54976,8000,1,52,0,52,52,0,1,
56321,9027,2,52,52,52,52,52,1,
60136,8000,3,175,87,175,175,159,1,
56321,9025,2,52,52,52,52,52,1,
12345,8000,2,76,37,76,76,37,1,
6881,15051,2,119,297,119,119,297,1,
40262,8000,2,77,37,77,77,37,1,
56321,9022,2,52,52,52,52,52,1,
53597,3544,2,69,117,69,69,117,1,
4016,8000,2,87,55,87,87,55,1,
7000,28056,2,28,28,28,28,28,1,
56321,9026,2,52,52,52,52,52,1,
4000,8000,2,87,55,87,87,55,1,
56321,9025,2,52,52,52,52,52,1,
7273,10353,1,66,0,66,66,0,1,
7273,19706,1,66,0,66,66,0,1,
56321,9021,2,52,52,52,52,52,1,
56321,9022,2,52,52,52,52,52,1,
4028,8000,2,47,55,47,47,55,1,
56321,9021,2,52,52,52,52,52,1,
56321,9021,2,52,52,52,52,52,1,
7000,39984,1,95,0,95,95,0,1,
4016,8000,2,47,55,47,47,55,1,
56321,9024,2,52,52,52,52,52,1,
49966,8000,1,52,0,52,52,0,1,
56321,9021,2,52,52,52,52,52,1,
4000,8000,2,47,55,47,47,55,1,
4016,8000,5,111,39,111,191,431,3,
7000,7000,1,92,0,92,92,0,1,
7000,39984,1,95,0,95,95,0,1,
56321,9021,2,52,52,52,52,52,1,
4024,8000,2,71,47,71,71,47,1,
56321,9027,2,52,52,52,52,52,1,
4016,8000,4,63,39,63,119,87,2,
4024,8000,2,63,39,63,63,39,1,
56321,9023,2,52,52,52,52,52,1,
7000,7800,1,95,0,95,95,0,1,
7000,7800,1,95,0,95,95,0,1,
56321,9022,2,52,52,52,52,52,1,
4005,8000,2,47,119,47,47,119,1,
59152,9617,1,117,0,117,117,0,1,
56321,9022,2,52,52,52,52,52,1,
56321,9023,2,52,52,52,52,52,1,
12345,8000,4,77,37,77,77,37,2,
56321,9070,2,52,52,52,52,52,1,
7000,38187,1,95,0,95,95,0,1,
56321,9070,2,52,52,52,52,52,1,
4019,8000,2,87,87,87,87,87,1,
4016,8000,1,119,0,119,119,0,1,
7273,8829,2,258,260,258,258,260,1,
6881,7463,2,119,297,119,119,297,1,
7000,8000,1,92,0,92,92,0,1,
56321,9070,2,52,52,52,52,52,1,
52874,9617,1,117,0,117,117,0,1,
56321,9070,2,52,52,52,52,52,1,
7000,7800,1,95,0,95,95,0,1,
56321,9070,2,52,52,52,52,52,1,
60136,8000,2,71,47,71,71,47,1,
56321,9070,2,52,52,52,52,52,1,
58774,8000,2,139,91,139,139,91,1,
7000,12673,1,95,0,95,95,0,1,
1863,8000,1,53,0,53,53,0,1,
56321,9070,2,52,52,52,52,52,1,
49712,53,4,39,179,39,39,179,2,
55775,9617,1,117,0,117,117,0,1,
59617,8000,2,498,378,498,498,378,1,
7000,12673,1,95,0,95,95,0,1,
61642,8000,1,52,0,52,52,0,1,
7000,8706,4,77,38,77,77,38,2,
7000,38848,1,95,0,95,95,0,1,
4016,8000,2,47,119,47,47,119,1,
7000,29654,1,95,0,95,95,0,1,
60136,8000,2,47,79,47,47,79,1,
56321,9022,2,52,52,52,52,52,1,
56321,9025,2,52,52,52,52,52,1,
57786,50867,1,329,0,329,329,0,1,
56321,9027,2,52,52,52,52,52,1,
12345,8000,2,77,37,77,77,37,1,
